        1	2016-03-08 14:33:34	1	0	1	0
     2001	2016-03-10 23:05:45	1	1	1	0
     2002	2016-03-10 23:05:50	1	1	1	0
     2003	2016-03-10 23:05:55	1	1	1	0
     2004	2016-03-10 23:06:03	1	1	1	0
     2040	2016-03-11 09:35:27	1	0	1	0
     2041	2016-03-11 09:40:30	1	0	1	0
     2048	2016-03-11 09:42:23	1	0	0	0
     2050	2016-03-11 09:44:01	1	0	1	0
     2005	2016-03-11 16:20:17	1	0	1	0
     2003	2016-03-11 17:14:01	1	0	1	0
     2004	2016-03-11 17:14:06	1	0	1	0
     2049	2016-03-11 17:41:55	1	0	1	0
     2041	2016-03-11 18:19:53	1	0	1	0
     2041	2016-03-11 18:19:59	1	1	1	0
     2002	2016-03-11 23:11:07	1	1	1	0
     2001	2016-03-11 23:11:16	1	1	1	0
     2003	2016-03-11 23:17:47	1	1	1	0
     2004	2016-03-11 23:18:15	1	1	1	0
     2005	2016-03-11 23:21:49	1	1	1	0
     2049	2016-03-12 07:08:20	1	0	1	0
     2042	2016-03-12 07:38:16	1	0	1	0
     2048	2016-03-12 07:40:43	1	0	0	0
     2045	2016-03-12 07:40:48	1	0	1	0
     2046	2016-03-12 07:41:51	1	0	1	0
     2046	2016-03-12 07:41:54	1	0	1	0
     2047	2016-03-12 07:46:28	1	0	1	0
     2043	2016-03-12 07:55:15	1	0	1	0
     2050	2016-03-12 08:52:35	1	0	1	0
     2050	2016-03-12 08:52:40	1	0	1	0
     2050	2016-03-12 08:52:48	1	0	1	0
     2041	2016-03-12 09:24:28	1	0	1	0
     2001	2016-03-12 14:38:34	1	1	1	0
     2042	2016-03-12 15:04:01	1	0	1	0
     2042	2016-03-12 15:04:08	1	1	1	0
     2003	2016-03-12 15:18:57	1	0	1	0
     2004	2016-03-12 15:19:20	1	0	1	0
     2045	2016-03-12 15:36:45	1	0	1	0
     2045	2016-03-12 15:36:55	1	1	1	0
     2047	2016-03-12 15:44:16	1	1	1	0
     2048	2016-03-12 16:02:59	1	1	0	0
     2005	2016-03-12 16:35:56	1	0	1	0
     2043	2016-03-12 16:54:17	1	1	1	0
     2049	2016-03-12 17:37:27	1	0	1	0
     2041	2016-03-12 17:54:17	1	1	1	0
     2046	2016-03-12 19:43:41	1	1	1	0
     2046	2016-03-12 19:43:42	1	1	1	0
     2046	2016-03-12 19:43:50	1	1	1	0
     2002	2016-03-12 23:09:23	1	1	1	0
     2052	2016-03-12 23:14:28	1	1	1	0
     2003	2016-03-12 23:17:22	1	1	1	0
     2004	2016-03-12 23:17:26	1	1	1	0
     2005	2016-03-12 23:29:06	1	1	1	0
     2001	2016-03-12 23:29:49	1	1	1	0
